fit_model_type,model_parameter,subject,bootstrap_num,fit_value
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,0,0.03310194782810372
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,1,0.04852350871940074
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,2,0.04381533906134058
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,3,0.05291563796233098
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,4,0.042614425061456684
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,5,0.04269482701083751
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,6,0.028027935135823544
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,7,0.04126307158552673
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,8,0.02296483490059568
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,9,0.04260322710162065
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,10,0.057421448902948424
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,11,0.02093068801677133
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,12,0.03738567354896213
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,13,0.043026542322762304
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,14,0.035380582780692185
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,15,0.042391017352196636
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,16,0.04447118656655605
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,17,0.04385403066197514
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,18,0.04707278591841041
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,19,0.038588132583801615
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,20,0.055825438880376665
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,21,0.039691343649657984
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,22,0.0535445239496621
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,23,0.04474225401141299
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,24,0.03265803086030425
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,25,0.052251110981188516
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,26,0.021576344878826703
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,27,0.03822157095205708
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,28,0.035777631090155214
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,29,0.030825178251850518
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,30,0.03990307391161424
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,31,0.03650706538995825
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,32,0.059325966398448574
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,33,0.04929426618969174
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,34,0.04396060296269952
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,35,0.043041628492608425
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,36,0.03663233732166896
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,37,0.050226788035248215
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,38,0.040031662822843775
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,39,0.040828481348169986
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,40,0.046608080140307685
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,41,0.04310358008541832
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,42,0.019702918769279033
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,43,0.039609300383175734
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,44,0.03164146239930582
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,45,0.03858989335109439
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,46,0.04064320243826813
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,47,0.04315025870052898
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,48,0.04049327355777002
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,49,0.04468195147381305
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,50,0.043339862839917816
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,51,0.03677758357860025
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,52,0.0396307632704228
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,53,0.039303332720179884
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,54,0.0402769181702919
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,55,0.04403813600485503
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,all,56,0.04589335139154772
