fit_model_type,model_parameter,subject,bootstrap_num,fit_value
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,85,2.9929218292236333
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,85,0.002637320663779974
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,85,-0.011970535852015018
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,85,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,85,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,85,-0.01132588554173708
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,85,-0.028132926672697067
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,85,0.040927078574895866
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,85,-0.03803165629506111
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,85,0.06134602054953575
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,85,0.4447471797466278
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,90,2.84299111366272
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,90,0.02087283506989479
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,90,-0.012567766942083836
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,90,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,90,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,90,0.06656265258789062
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,90,-0.03747148439288138
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,90,0.05362074449658394
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,90,0.031212111935019493
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,90,0.09117724746465684
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,90,0.3692144453525543
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,70,3.14788818359375
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,70,0.011078686453402042
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,70,-0.01393957994878292
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,70,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,70,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,70,-0.0036678374744951725
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,70,-0.0429513230919838
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,70,0.06052067130804064
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,70,-0.035675957798957825
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,70,0.03171427920460701
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,70,0.5563896894454956
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,78,3.234303951263428
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,78,0.0067217834293842324
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,78,-0.01915385946631432
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,78,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,78,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,78,-0.008060847409069538
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,78,-0.026784572750329968
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,78,-0.12050661444664
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,78,0.07325602322816849
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,78,0.0594303049147129
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,78,0.4434963762760161
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,56,2.9852828979492188
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,56,0.0010231264168396592
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,56,-0.009901043027639387
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,56,0.0
full_donut_period-full_amps-absolute,rel_amplitude_obliques,sub-wlsubj001,56,0.0
full_donut_period-full_amps-absolute,abs_mode_cardinals,sub-wlsubj001,56,-0.016624756157398224
full_donut_period-full_amps-absolute,abs_mode_obliques,sub-wlsubj001,56,-0.030215729027986526
full_donut_period-full_amps-absolute,rel_mode_cardinals,sub-wlsubj001,56,0.03253283724188805
full_donut_period-full_amps-absolute,rel_mode_obliques,sub-wlsubj001,56,-0.01858135126531124
full_donut_period-full_amps-absolute,sf_ecc_slope,sub-wlsubj001,56,0.0523262694478035
full_donut_period-full_amps-absolute,sf_ecc_intercept,sub-wlsubj001,56,0.4845409691333771
full_donut_period-full_amps-absolute,sigma,sub-wlsubj001,35,3.379947662353516
full_donut_period-full_amps-absolute,abs_amplitude_cardinals,sub-wlsubj001,35,0.011082450859248638
full_donut_period-full_amps-absolute,abs_amplitude_obliques,sub-wlsubj001,35,-0.024593548849225044
full_donut_period-full_amps-absolute,rel_amplitude_cardinals,sub-wlsubj001,35,0.0
